焦糖星,Warma,中文；流行；舒缓,
一般男性脱糞シリーズ,yyut,日文；舒缓；SC,SC点歌
舞い落ちる花びら,SEVENTEEN,日文；K-pop；流行,Fallin' Flower
Bye by me,Vaundy,日文；流行；舒缓,扔掉吧安达小姐
惡の華,宇宙人,日文；ACG；舰长,恶之花
Dear Mary,悶餅MOONBAND,英文；流行；舒缓,
勘冴えて悔しいわ,ずっと真夜中でいいのに。,日文；流行；舰长,直觉敏锐而不甘 真夜中
夜行,ヨルシカ,日文；流行；ACG；舒缓,
Samurai 45,MIYAVI,日文；英文；ACG；流行,异度侵入
お勉強しといてよ,ずっと真夜中でいいのに。,日文；流行；舰长,得好好学习哦
READY!!,765PRO ALLSTARS,日文；ACG,偶像大师 爱马仕
お願い! シンデレラ,THE IDOLM@STER,日文；ACG,偶像大师 灰姑娘女孩 爱马仕
金木犀の夜,きのこ帝国,日文；流行；舒缓,
DADDY! DADDY! DO!,鈴木愛理,日文；ACG,辉夜大小姐想让我告白 半首
乙女のルートはひとつじゃない！,angela,日文；ACG,转生成为了只有乙女游戏破灭flag的大小姐 半首
一番星,タイナカ彩智,日文；流行；舒缓；SC,SC点歌
肥肠爱你,舒大卫,中文；流行；舒缓；舰长,
僕らの環境,ナナニジ 22/7,日文；ACG；秋元系,
我是一只鱼,落日飞车,中文；流行；舒缓,
一起跳海,小缪,中文；流行；舒缓,
我的悲伤是水做的,洛天依,中文；术力口；舒缓,
太陽系?ワンダーラスト,煌めき☆アンフォレント,日文；流行；地偶,
Floating Heart,内田彩,日文；流行；卖萌,
ギミチョコ!!,BABYMETAL,日文；摇滚；舰长,Gimme Chocolate!!
Blue Moon,SPiCYSOL,日文；流行,
STUDY,SPiCYSOL,日文；流行,
いいね!,BABYMETAL,日文；摇滚；舰长,
メギツネ,BABYMETAL,日文；摇滚；舰长,
太阳,程佳佳,中文；流行；舒缓,
煩悩遊戯,Reol,日文；流行；Rap；舰长,
君はロックを聴かない,あいみょん,日文；流行；舰长,不听摇滚的你 爱缪
ダリ,Reol,日文；流行；Rap；舰长,
HYPE MODE,Reol,日文；流行；Rap；舰长,
Defying Gravity ,Idina Menzel,英文；音乐剧；SC,音乐剧魔法坏女巫 SC点歌
Tiny Light,鬼头明里,日文；ACG；舒缓,地缚少年花子君
Clover wish,ChamJam,日文；ACG；地偶,神推偶像登上武道馆我就死而无憾
ごまかし,Trysail,日文；ACG,魔法纪录 魔法少女小圆外传 半首
ダイアモンド クレバス,May'n,日文；ACG；舰长,钻石裂痕 超时空要塞 马裤螺丝
Light for Knight,三森すずこ,日文；ACG；舰长,枪的假面舞会
Lemon,米津玄师,日文；流行；舒缓；舰长,
I am beautiful,辻詩音,日文；流行,
Swim ～oh!oh!oh!～,辻詩音,日文；流行,
大切な君へ,井上苑子,日文；流行,
ラタムニカ,藤原さくら,日文；流行,
グルグル,藤原さくら,日文；流行,
MILK,神山羊,日文；流行,
Minus Zero × Synesthesia,Hikaru Station,日文；流行；电音,
have a nice day,浅葱喵asagiinyo,日文；流行,
Sunday Silence,月島春果,日文；流行；电音,
SLEEPWALK,ヒトリエ,日文；流行,
にんじゃりばんばん,きゃりーぱみゅぱみゅ,日文；流行,忍者棒棒 彭薇薇
Someone In The Crowd,Someone In The Crowd,英文；音乐剧；舰长,爱乐之城 La La Land
Another Day Of Sun,La La Land,英文；音乐剧；舰长,爱乐之城 La La Land
I Can't Get Enough with Set Sail,SPiCYSOL,日文；流行,
愛 think so，,ef,日文；流行,
KUMAMIKO DANCING,日岡なつみ,日文；ACG,当女孩遇到熊
白日,King Gnu,日文；流行；舰长,
サターン,ずっと真夜中でいいのに。,日文；流行；舰长,土星 真夜中
ハッピーになりたい,ナナヲアカリ,日文；流行,想要变得快乐 nanawoakari
フロントメモリー,鈴木瑛美子,日文；ACG；流行；舰长,恋如雨止
みんなの太陽系,つじあやの,日文；流行,
玛德琳娜电塔,warma,中文；流行；舒缓；舰长,
歌に形はないけれど,花たん,日文；流行；舰长,虽说歌声没有形状
Traffic Jam,SPiCYSOL,日文；流行,
WDTA(Shut Up),SPiCYSOL,日文；流行,
Fresh Go,SPiCYSOL,日文；流行,
落下,日向文,日文；流行；舒缓,
ヒューマノイド,ずっと真夜中でいいのに。,日文；流行；舰长,Humanoid 真夜中
真夏のミッション,Goose house,日文；流行,
cry,日向文,日文；流行；舒缓,
YELLOW,神山羊,日文；流行；舰长,
玉葱+,初音未来,日文；术力口,匹诺曹P
なんでもないや,RADWIMPS,日文；流行；ACG；舒缓,你的名字
いかないで,鹿乃,日文；流行；舒缓,不要离开我
錆び,日向文,日文；流行；舒缓,
オドループ,フレデリック,日文；流行；舒缓,
ブラックアウト,日向文,日文；流行；舒缓,
君がいて水になる,ずっと真夜中でいいのに。,日文；流行,有你在即可化成水 真夜中
ヤバい○○,上坂すみれ,日文；流行； SC,SC点歌
オオカミ少年独白,Cana,日文；流行；舒缓,
unlasting,LiSA,日文；ACG；舰长；舒缓,刀剑神域
プラトニック?ラヴ,鹿乃,日文；术力口,柏拉图式爱情
ベノム,flower,日文；术力口,猛毒 怪力熊
ダイヤモンドプリンセスの憂鬱,BiBi,日文；ACG,钻石公主的忧郁 LoveLive
Silent tonight,BiBi,日文；ACG；舒缓,LoveLive
コイワズライ,Amier,日文；流行,相思病 别被白雪与狼君所欺骗
Los! Los! Los!,悠木碧,日文；ACG；舰长,幼女战记
マリーゴールド,あいみょん,日文；流行；舰长,金盏花 D4DJ
錯覚CROSSROADS,BiBi,日文；ACG；舒缓,LoveLive
新宝島,サカナクション,日文；流行； SC,SC点歌
新宝島 抒情版,Lefty Hand Cream,日文；流行； 舰长；舒缓,
オオカミと少女,鎖那,日文；流行,狼与少女
パパパ,斉藤朱夏,日文；ACG；舰长,喜欢本大爷的竟然只有你一个?
サマータイムラブ,Shiggy Jr.,日文；流行,夏日爱情
フラレガイガール,さユり,日文；流行,被甩男女
BEYOND,鎖那,日文；流行；舰长,
fairy stage,K2 SOUND,日文；ACG；舰长,东方
my sweetest one,Aimer,日文；流行,
ジュリアに傷心,チェッカーズ,日文,轮到你了插曲 Oh my Julia
あなたは煙草　私はシャボン,ラブリーサマーちゃん,日文；流行,你是烟草，我是泡沫
See You - またね,HoneyComeBear,日文；流行；电音,
青春のリバーブ,戸松遥，赤﨑千夏，豊崎愛生,日文；ACG；舒缓,女高中生的虚度日常
丸ノ内サディスティック,椎名林檎,日文；流行,丸之内受虐狂
歌舞伎町の女王,椎名林檎,日文；流行,歌舞伎町的女王
コトコト,ef,日文；流行；舒缓,
輪!Moon!dass!cry!,戸松遥，赤﨑千夏，豊崎愛生,日文；ACG；舰长,女高中生的虚度日常
めっかわ,大森靖子,日文；流行,超可爱
貴方解剖純愛歌~死ね~,あいみょん,日文；流行；舰长,爱缪
あたし天使の堪忍袋,大森靖子,日文；流行；SC,我天使的忍耐极限 SC点歌
歩いても歩いても、夜空は僕を追いかけてくる,鎖那,日文；流行,
ため息,チュール,日文；流行；舒缓,
あなたのお耳にプラグイン!,イヤホンズ,日文；ACG；舰长,那就是声优
光年之外,G.E.M.邓紫棋,中文；流行；舰长,
虹色 サンシャイン,煌めき☆アンフォレント,日文；流行；地偶,
好きな人がいること,知英,日文；流行,有喜欢的人
しゅわりん☆どり~みん,Pastel＊Palettes,日文；ACG；舰长,修车曲 邦邦
Not Afraid,Alisa,英文；ACG,卡罗尔与星期二
瞬き,春茶,日文；流行；舒缓,
For フルーツバスケット,岡崎律子,日文；ACG；舒缓,水果篮子
The Loneliest Girl,Nai Br.XX Celeina Ann,英文；ACG；舒缓,卡罗尔与星期二
Light A Fire,Alisa,英文；ACG；舰长,卡罗尔与星期二
All I Want,Alisa,英文；ACG,卡罗尔与星期二
Whispering My Love,Nai Br.XX Celeina Ann,英文；ACG；舒缓,卡罗尔与星期二
Someday I'll Find My Way Home,Nai Br.XX Celeina Ann,英文；ACG；舒缓,卡罗尔与星期二
Round ＆ Laundry,Nai Br.XX Celeina Ann,英文；ACG,卡罗尔与星期二
Move Mountains,Alisa,英文；ACG；舰长,卡罗尔与星期二
だから僕は音楽を辞めた,ヨルシカ ,日文；流行；舰长,夜鹿 所以我放弃了音乐
クレイジー?ビート,镜音铃/镜音连,日文；ACG；术力口；电音,康帕斯 Crazy Beat
阿吽のヒ?ーツ,flower,日文；术力口,阿吽的节奏
ヒーローになりたかった,斉藤朱夏,日文；流行,
あと1メートル,斉藤朱夏,日文；流行,
ことばの魔法,斉藤朱夏,日文；流行,
くつひも,斉藤朱夏,日文；流行,
画,G.E.M.邓紫棋,中文；流行；舒缓,
扉をあけて,ANZA,日文；ACG；舰长,敞开心扉 魔卡少女樱
Synchrogazer,水樹奈々,日文；ACG；SC,战姬绝唱 SC点歌
深愛,水樹奈々,日文；ACG；舰长,白色相簿
Ringing Bloom,Roselia,日文；ACG；舰长,邦邦
ジャンヌダルク,三森すずこ,日文；ACG；音乐剧；舰长,少女歌剧
FIRE BIRD,Roselia,日文；ACG；舰长,邦邦
劣等上等,Reol,日文；流行；电音；舰长,
激白,Reol,日文；流行；电音；舰长,
Euterpe,EGOIST,日文；ACG；舰长；舒缓,罪恶王冠
intention,鹿乃,日文；流行,
CHANGE!!!!,765PRO ALLSTARS,日文；ACG；舰长,偶像大师 爱马仕
ミント,初音ミク,日文；术力口,MINT ATOLS
aLIEz,mizuki,日文；ACG；SC,核爆神曲 SC点歌
男の勲章,RIKI,日文；流行,我是大哥大
キミの記憶,川村ゆみ,日文；ACG；舰长,女神异闻录
残酷な天使のテーゼ,高橋洋子,日文；ACG,残酷天使的行动纲领 EVA
STAND-ALONE,Aimer,日文；流行,轮到你了插曲 Oh my Julia
ミッドナイトストロウラ,Reol,日文；流行；电音；舰长,
シンカロン,Reol,日文；流行；电音；舰长,
ウテナ,Reol,日文；流行；Rap；舰长,
GIRAFFE BLUES,鈴木みのり,日文；ACG,马裤螺丝 超时空要塞
砂金,黒木渚,日文；流行；舰长,
ふわふわ,みゆな,日文；流行；舰长,
シャルル,flower,日文；术力口；舰长,
You are a ghost， I am a ghost,スタァライト九九組,日文；ACG；音乐剧；舰长,少女歌剧
もう森へ帰ろうか?,欅坂46,日文；流行；秋元系,
ダダダダ天使,ナナヲアカリ,日文；流行；舰长,nanawoakari
私たちの居る理由,スタァライト九九組,日文；ACG；音乐剧；舰长,少女歌剧
ジョジョ~その血の運命~,富永TOMMY弘明,日文；ACG,JOJO
熱色スターマイン,Roselia,日文；ACG；舰长,邦邦
Determination Symphony,Roselia,日文；ACG；舰长,邦邦
Re:birth day,Roselia,日文；ACG；舰长,邦邦
陽だまりロードナイト,Roselia,日文；ACG；舰长,邦邦
LOUDER,Roselia,日文；ACG,邦邦
BLACK SHOUT,Roselia,日文；ACG,邦邦
魂のルフラン,高橋洋子,日文；ACG；舰长,EVA
たい,Reol,日文；流行；Rap；舰长,
バーモント?キス,相対性理論,日文；流行；舒缓,
YOU & IDOL,相対性理論,日文；流行；舒缓,
KIRA☆Power,STAR☆ANIS,日文；ACG,偶像活动
fashion check!,STAR☆ANIS,日文；ACG,偶像活动
SHINING LINE*,STAR☆ANIS,日文；ACG,偶像活动
Signalize!,STAR☆ANIS,日文；ACG,偶像活动
Hold Me Now,Nai Br.XX Celeina Ann,英文；ACG,卡罗尔与星期二
Kiss Me,Nai Br.XX Celeina Ann,英文；ACG,卡罗尔与星期二
Bloody Stream,Coda(小田和奏),日文；ACG,JOJO
私の言葉,久保ユリカ,日文；流行,
ひとり旅,鎖那,日文；流行,独自旅行
胸騒ぎナビゲーション,Goose house,日文；流行,
kirari futari,mamerico,日文；流行；舒缓,
ガラ,水曜日のカンパネラ,日文；流行,
桃太郎,水曜日のカンパネラ,日文；流行,
ヒッチコック,ヨルシカ ,日文；流行,夜鹿 希区柯克 Hitchhock
スタンドバイミー,the peggies,日文；ACG,皿三味
懺悔録,黒木渚,日文；流行；舰长,
一休さん,水曜日のカンパネラ,日文；流行,
ふわふわ?,牧野由依,日文；流行,
チカっとチカ千花っ,小原好美,日文；ACG；舰长,辉夜大小姐想让我告白 半首
Star Divine,スタァライト九九組,日文；ACG；舰长,少女歌剧
The Lazy Song,Bruno Mars,英文；流行,
夏休みの転校生,鎖那,日文；流行,
やさしくしないで,杉恵ゆりか,日文；流行；舰长,
PLAYING WITH FIRE,BLACKPINK,日文；K-pop；流行；Rap,
STAY,BLACKPINK,日文；K-pop；流行；舒缓,
FOREVER YOUNG,BLACKPINK,日文；K-pop；流行,
SEE U LATER,BLACKPINK,日文；K-pop；流行,
BOOMBAYAH,BLACKPINK,日文；K-pop；流行；Rap,
しろつめくさ,ハンバート ハンバート,日文；流行；舒缓,白车轴草
オトノナルホウヘ→,Goose house,日文；ACG；舰长；流行,银之匙
キュン,日向坂46,日文；流行；秋元系,心动了
眠れる森に行きたいな,鬼頭明里,日文；ACG,LoveLive
Next SPARKLING!!,Aqours,日文；ACG,LoveLive
君の瞳を巡る冒険,Aqours,日文；ACG,LoveLive
未来の僕らは知ってるよ,Aqours,日文；ACG；舰长,LoveLive
バスルームトラベル,欅坂46,日文；流行；秋元系,
ごめんね クリスマス,欅坂46,日文；流行；秋元系,
ここにいるよ,Goose house,日文；流行；舒缓,
AIAIAI,Kizuna AI,日文；ACG；V圈金曲,虚拟小姐在看着你
future base,Kizuna AI,日文；ACG；V圈金曲,
melty world,Kizuna AI,日文；ACG；V圈金曲,
春愁,Mrs. GREEN APPLE,日文；流行；舒缓,
REALLY,BLACKPINK,日文；K-pop；流行,
Little Wing & Beautiful Pride,加藤英美里/戸松遥,日文；ACG,美妙旋律
INDETERMINATE UNIVERSE,初音未来,日文；ACG,烟草
裏表ラバーズ,初音未来,日文；术力口；提督,里表情人
コバルトの街,Goose house,日文；流行；舒缓,
十中八九,Reol,日文；流行；Rap；舰长,
ディスコミュ星人,ナナヲアカリ,日文；流行；舰长,交流障碍星人
SEVENDAYS LOVE， SEVENDAYS FRIEND,宍戸留美/佐倉綾音,日文；ACG；舰长,美妙旋律
不可思議のカルテ,瀬戸麻沙美/東山奈央,日文；ACG；舰长,青春期笨蛋不做兔女郎学姐的梦
